Bible	Language	Token	Count
ces-x-bible-kralicka.txt	Czech.txt	p	80485
ces-x-bible-kralicka.txt	Czech.txt	b	65060
ces-x-bible-kralicka.txt	Czech.txt	t	140100
ces-x-bible-kralicka.txt	Czech.txt	d	108524
ces-x-bible-kralicka.txt	Czech.txt	c	???
ces-x-bible-kralicka.txt	Czech.txt	ɟ	???
ces-x-bible-kralicka.txt	Czech.txt	k	93730
ces-x-bible-kralicka.txt	Czech.txt	g	2439
ces-x-bible-kralicka.txt	Czech.txt	ʔ	???
ces-x-bible-kralicka.txt	Czech.txt	m(m, m̩)	97233
ces-x-bible-kralicka.txt	Czech.txt	n(n, ɱ, ŋ)	146769
ces-x-bible-kralicka.txt	Czech.txt	ɲ	1396
ces-x-bible-kralicka.txt	Czech.txt	f	3057
ces-x-bible-kralicka.txt	Czech.txt	v	122869
ces-x-bible-kralicka.txt	Czech.txt	s	134316
ces-x-bible-kralicka.txt	Czech.txt	z	54014
ces-x-bible-kralicka.txt	Czech.txt	ʃ	32626
ces-x-bible-kralicka.txt	Czech.txt	ʒ	51218
ces-x-bible-kralicka.txt	Czech.txt	x(x, ɣ)	28373
ces-x-bible-kralicka.txt	Czech.txt	ɦ	50853
ces-x-bible-kralicka.txt	Czech.txt	ts(ts, dz)	29377
ces-x-bible-kralicka.txt	Czech.txt	tʃ(tʃ, dʒ)	16936
ces-x-bible-kralicka.txt	Czech.txt	r(r, r̩)	74086
ces-x-bible-kralicka.txt	Czech.txt	r̝	36167
ces-x-bible-kralicka.txt	Czech.txt	j	121739
ces-x-bible-kralicka.txt	Czech.txt	l(l, l̩)	128359
ces-x-bible-kralicka.txt	Czech.txt	ɪ	149191
ces-x-bible-kralicka.txt	Czech.txt	ɛ	221905
ces-x-bible-kralicka.txt	Czech.txt	a	189719
ces-x-bible-kralicka.txt	Czech.txt	o	204541
ces-x-bible-kralicka.txt	Czech.txt	u	65034
ces-x-bible-kralicka.txt	Czech.txt	iː	90682
ces-x-bible-kralicka.txt	Czech.txt	ɛː	35492
ces-x-bible-kralicka.txt	Czech.txt	aː	52635
ces-x-bible-kralicka.txt	Czech.txt	oː	599
ces-x-bible-kralicka.txt	Czech.txt	uː	14833
ces-x-bible-kralicka.txt	Czech.txt	ou	18811
ces-x-bible-kralicka.txt	Czech.txt	au	646
ces-x-bible-kralicka.txt	Czech.txt	ɛu	686
ces-x-bible-ekumenicky.txt	Czech.txt	p	82736
ces-x-bible-ekumenicky.txt	Czech.txt	b	55259
ces-x-bible-ekumenicky.txt	Czech.txt	t	128514
ces-x-bible-ekumenicky.txt	Czech.txt	d	111219
ces-x-bible-ekumenicky.txt	Czech.txt	c	???
ces-x-bible-ekumenicky.txt	Czech.txt	ɟ	???
ces-x-bible-ekumenicky.txt	Czech.txt	k	83957
ces-x-bible-ekumenicky.txt	Czech.txt	g	2566
ces-x-bible-ekumenicky.txt	Czech.txt	ʔ	???
ces-x-bible-ekumenicky.txt	Czech.txt	m(m, m̩)	97068
ces-x-bible-ekumenicky.txt	Czech.txt	n(n, ɱ, ŋ)	143293
ces-x-bible-ekumenicky.txt	Czech.txt	ɲ	1402
ces-x-bible-ekumenicky.txt	Czech.txt	f	2195
ces-x-bible-ekumenicky.txt	Czech.txt	v	118487
ces-x-bible-ekumenicky.txt	Czech.txt	s	126006
ces-x-bible-ekumenicky.txt	Czech.txt	z	54450
ces-x-bible-ekumenicky.txt	Czech.txt	ʃ	32688
ces-x-bible-ekumenicky.txt	Czech.txt	ʒ	33710
ces-x-bible-ekumenicky.txt	Czech.txt	x(x, ɣ)	27406
ces-x-bible-ekumenicky.txt	Czech.txt	ɦ	48315
ces-x-bible-ekumenicky.txt	Czech.txt	ts(ts, dz)	26735
ces-x-bible-ekumenicky.txt	Czech.txt	tʃ(tʃ, dʒ)	14670
ces-x-bible-ekumenicky.txt	Czech.txt	r(r, r̩)	76527
ces-x-bible-ekumenicky.txt	Czech.txt	r̝	34775
ces-x-bible-ekumenicky.txt	Czech.txt	j	114989
ces-x-bible-ekumenicky.txt	Czech.txt	l(l, l̩)	127011
ces-x-bible-ekumenicky.txt	Czech.txt	ɪ	125392
ces-x-bible-ekumenicky.txt	Czech.txt	ɛ	214510
ces-x-bible-ekumenicky.txt	Czech.txt	a	173693
ces-x-bible-ekumenicky.txt	Czech.txt	o	201439
ces-x-bible-ekumenicky.txt	Czech.txt	u	63879
ces-x-bible-ekumenicky.txt	Czech.txt	iː	84552
ces-x-bible-ekumenicky.txt	Czech.txt	ɛː	28467
ces-x-bible-ekumenicky.txt	Czech.txt	aː	58452
ces-x-bible-ekumenicky.txt	Czech.txt	oː	4208
ces-x-bible-ekumenicky.txt	Czech.txt	uː	16216
ces-x-bible-ekumenicky.txt	Czech.txt	ou	18917
ces-x-bible-ekumenicky.txt	Czech.txt	au	629
ces-x-bible-ekumenicky.txt	Czech.txt	ɛu	637
ces-x-bible-bible21.txt	Czech.txt	p	79405
ces-x-bible-bible21.txt	Czech.txt	b	51180
ces-x-bible-bible21.txt	Czech.txt	t	125386
ces-x-bible-bible21.txt	Czech.txt	d	107321
ces-x-bible-bible21.txt	Czech.txt	c	???
ces-x-bible-bible21.txt	Czech.txt	ɟ	???
ces-x-bible-bible21.txt	Czech.txt	k	84410
ces-x-bible-bible21.txt	Czech.txt	g	2620
ces-x-bible-bible21.txt	Czech.txt	ʔ	???
ces-x-bible-bible21.txt	Czech.txt	m(m, m̩)	96006
ces-x-bible-bible21.txt	Czech.txt	n(n, ɱ, ŋ)	138395
ces-x-bible-bible21.txt	Czech.txt	ɲ	1370
ces-x-bible-bible21.txt	Czech.txt	f	2471
ces-x-bible-bible21.txt	Czech.txt	v	112885
ces-x-bible-bible21.txt	Czech.txt	s	120947
ces-x-bible-bible21.txt	Czech.txt	z	53400
ces-x-bible-bible21.txt	Czech.txt	ʃ	32261
ces-x-bible-bible21.txt	Czech.txt	ʒ	32639
ces-x-bible-bible21.txt	Czech.txt	x(x, ɣ)	28475
ces-x-bible-bible21.txt	Czech.txt	ɦ	46819
ces-x-bible-bible21.txt	Czech.txt	ts(ts, dz)	26295
ces-x-bible-bible21.txt	Czech.txt	tʃ(tʃ, dʒ)	13951
ces-x-bible-bible21.txt	Czech.txt	r(r, r̩)	73877
ces-x-bible-bible21.txt	Czech.txt	r̝	32113
ces-x-bible-bible21.txt	Czech.txt	j	111824
ces-x-bible-bible21.txt	Czech.txt	l(l, l̩)	123637
ces-x-bible-bible21.txt	Czech.txt	ɪ	123869
ces-x-bible-bible21.txt	Czech.txt	ɛ	207612
ces-x-bible-bible21.txt	Czech.txt	a	174747
ces-x-bible-bible21.txt	Czech.txt	o	192384
ces-x-bible-bible21.txt	Czech.txt	u	59333
ces-x-bible-bible21.txt	Czech.txt	iː	81163
ces-x-bible-bible21.txt	Czech.txt	ɛː	25963
ces-x-bible-bible21.txt	Czech.txt	aː	56190
ces-x-bible-bible21.txt	Czech.txt	oː	79
ces-x-bible-bible21.txt	Czech.txt	uː	16155
ces-x-bible-bible21.txt	Czech.txt	ou	18363
ces-x-bible-bible21.txt	Czech.txt	au	607
ces-x-bible-bible21.txt	Czech.txt	ɛu	607
ces-x-bible-newworld.txt	Czech.txt	p	85916
ces-x-bible-newworld.txt	Czech.txt	b	62141
ces-x-bible-newworld.txt	Czech.txt	t	156688
ces-x-bible-newworld.txt	Czech.txt	d	117497
ces-x-bible-newworld.txt	Czech.txt	c	???
ces-x-bible-newworld.txt	Czech.txt	ɟ	???
ces-x-bible-newworld.txt	Czech.txt	k	99143
ces-x-bible-newworld.txt	Czech.txt	g	2850
ces-x-bible-newworld.txt	Czech.txt	ʔ	???
ces-x-bible-newworld.txt	Czech.txt	m(m, m̩)	111468
ces-x-bible-newworld.txt	Czech.txt	n(n, ɱ, ŋ)	158033
ces-x-bible-newworld.txt	Czech.txt	ɲ	1822
ces-x-bible-newworld.txt	Czech.txt	f	2671
ces-x-bible-newworld.txt	Czech.txt	v	137154
ces-x-bible-newworld.txt	Czech.txt	s	138592
ces-x-bible-newworld.txt	Czech.txt	z	58435
ces-x-bible-newworld.txt	Czech.txt	ʃ	33758
ces-x-bible-newworld.txt	Czech.txt	ʒ	38897
ces-x-bible-newworld.txt	Czech.txt	x(x, ɣ)	30901
ces-x-bible-newworld.txt	Czech.txt	ɦ	53074
ces-x-bible-newworld.txt	Czech.txt	ts(ts, dz)	30473
ces-x-bible-newworld.txt	Czech.txt	tʃ(tʃ, dʒ)	19947
ces-x-bible-newworld.txt	Czech.txt	r(r, r̩)	85783
ces-x-bible-newworld.txt	Czech.txt	r̝	40572
ces-x-bible-newworld.txt	Czech.txt	j	141792
ces-x-bible-newworld.txt	Czech.txt	l(l, l̩)	146656
ces-x-bible-newworld.txt	Czech.txt	ɪ	135306
ces-x-bible-newworld.txt	Czech.txt	ɛ	251995
ces-x-bible-newworld.txt	Czech.txt	a	226616
ces-x-bible-newworld.txt	Czech.txt	o	224279
ces-x-bible-newworld.txt	Czech.txt	u	73904
ces-x-bible-newworld.txt	Czech.txt	iː	94297
ces-x-bible-newworld.txt	Czech.txt	ɛː	32857
ces-x-bible-newworld.txt	Czech.txt	aː	61400
ces-x-bible-newworld.txt	Czech.txt	oː	688
ces-x-bible-newworld.txt	Czech.txt	uː	18076
ces-x-bible-newworld.txt	Czech.txt	ou	21809
ces-x-bible-newworld.txt	Czech.txt	au	735
ces-x-bible-newworld.txt	Czech.txt	ɛu	1181
ces-x-bible-novakarlica.txt	Czech.txt	p	17622
ces-x-bible-novakarlica.txt	Czech.txt	b	12860
ces-x-bible-novakarlica.txt	Czech.txt	t	33350
ces-x-bible-novakarlica.txt	Czech.txt	d	25356
ces-x-bible-novakarlica.txt	Czech.txt	c	???
ces-x-bible-novakarlica.txt	Czech.txt	ɟ	???
ces-x-bible-novakarlica.txt	Czech.txt	k	22486
ces-x-bible-novakarlica.txt	Czech.txt	g	435
ces-x-bible-novakarlica.txt	Czech.txt	ʔ	???
ces-x-bible-novakarlica.txt	Czech.txt	m(m, m̩)	23092
ces-x-bible-novakarlica.txt	Czech.txt	n(n, ɱ, ŋ)	33552
ces-x-bible-novakarlica.txt	Czech.txt	ɲ	291
ces-x-bible-novakarlica.txt	Czech.txt	f	429
ces-x-bible-novakarlica.txt	Czech.txt	v	27479
ces-x-bible-novakarlica.txt	Czech.txt	s	27846
