Language	Family	ISOCode	Position	PPercent	Observed	OPercent	TotalInventory	TranscriptLength
Amarasi	Austronesian	aaz	0	0.000	0	0.000	18	0
Amarasi	Austronesian	aaz	4	1.000	3	16.667	18	4
Amarasi	Austronesian	aaz	7	2.000	4	22.222	18	7
Amarasi	Austronesian	aaz	11	3.000	5	27.778	18	11
Amarasi	Austronesian	aaz	15	4.000	6	33.333	18	15
Amarasi	Austronesian	aaz	19	5.000	8	44.444	18	19
Amarasi	Austronesian	aaz	22	6.000	8	44.444	18	22
Amarasi	Austronesian	aaz	26	7.000	9	50.000	18	26
Amarasi	Austronesian	aaz	30	8.000	10	55.556	18	30
Amarasi	Austronesian	aaz	34	9.000	11	61.111	18	34
Amarasi	Austronesian	aaz	37	10.000	11	61.111	18	37
Amarasi	Austronesian	aaz	41	11.000	11	61.111	18	41
Amarasi	Austronesian	aaz	45	12.000	11	61.111	18	45
Amarasi	Austronesian	aaz	49	13.000	11	61.111	18	49
Amarasi	Austronesian	aaz	52	14.000	11	61.111	18	52
Amarasi	Austronesian	aaz	56	15.000	11	61.111	18	56
Amarasi	Austronesian	aaz	60	16.000	12	66.667	18	60
Amarasi	Austronesian	aaz	64	17.000	12	66.667	18	64
Amarasi	Austronesian	aaz	67	18.000	12	66.667	18	67
Amarasi	Austronesian	aaz	71	19.000	12	66.667	18	71
Amarasi	Austronesian	aaz	75	20.000	13	72.222	18	75
Amarasi	Austronesian	aaz	79	21.000	13	72.222	18	79
Amarasi	Austronesian	aaz	82	22.000	14	77.778	18	82
Amarasi	Austronesian	aaz	86	23.000	14	77.778	18	86
Amarasi	Austronesian	aaz	90	24.000	14	77.778	18	90
Amarasi	Austronesian	aaz	94	25.000	14	77.778	18	94
Amarasi	Austronesian	aaz	97	26.000	14	77.778	18	97
Amarasi	Austronesian	aaz	101	27.000	14	77.778	18	101
Amarasi	Austronesian	aaz	105	28.000	14	77.778	18	105
Amarasi	Austronesian	aaz	108	29.000	14	77.778	18	108
Amarasi	Austronesian	aaz	112	30.000	14	77.778	18	112
Amarasi	Austronesian	aaz	116	31.000	14	77.778	18	116
Amarasi	Austronesian	aaz	120	32.000	14	77.778	18	120
Amarasi	Austronesian	aaz	123	33.000	14	77.778	18	123
Amarasi	Austronesian	aaz	127	34.000	14	77.778	18	127
Amarasi	Austronesian	aaz	131	35.000	14	77.778	18	131
Amarasi	Austronesian	aaz	135	36.000	14	77.778	18	135
Amarasi	Austronesian	aaz	138	37.000	14	77.778	18	138
Amarasi	Austronesian	aaz	142	38.000	14	77.778	18	142
Amarasi	Austronesian	aaz	146	39.000	14	77.778	18	146
Amarasi	Austronesian	aaz	150	40.000	14	77.778	18	150
Amarasi	Austronesian	aaz	153	41.000	14	77.778	18	153
Amarasi	Austronesian	aaz	157	42.000	14	77.778	18	157
Amarasi	Austronesian	aaz	161	43.000	14	77.778	18	161
Amarasi	Austronesian	aaz	165	44.000	14	77.778	18	165
Amarasi	Austronesian	aaz	168	45.000	14	77.778	18	168
Amarasi	Austronesian	aaz	172	46.000	14	77.778	18	172
Amarasi	Austronesian	aaz	176	47.000	14	77.778	18	176
Amarasi	Austronesian	aaz	180	48.000	14	77.778	18	180
Amarasi	Austronesian	aaz	183	49.000	14	77.778	18	183
Amarasi	Austronesian	aaz	187	50.000	14	77.778	18	187
Amarasi	Austronesian	aaz	191	51.000	14	77.778	18	191
Amarasi	Austronesian	aaz	194	52.000	14	77.778	18	194
Amarasi	Austronesian	aaz	198	53.000	14	77.778	18	198
Amarasi	Austronesian	aaz	202	54.000	14	77.778	18	202
