Language	Length	TotalInventory	ChiSig	RSq
Standard Modern Greek	434.452951636079	23	2.24781426319102e-13	0.748092749212723
Galician	519.388424506112	29	0.0000000105645157836266	0.751497324461784
Breton (Treger dialect)	526.299288246486	36	5.10932210119254e-40	0.937323744368328
Persian (Farsi)	549.386381901204	29	8.68178369316097e-14	0.721513463624323
Standard Georgian	628.121822400888	33	0.000532708065196835	0.810955071919925
Lyonnais (Francoprovencal)	684.504506141771	33	3.45159296023702e-44	0.895741174802094
Gayo	693.763205626075	27	7.32985495479087e-22	0.940687206630117
American English - Southern Michigan	705.448398975032	39	1.3115659018716e-18	0.971109414196672
Brunei Malay	719.182499798655	21	1.32798512887388e-46	0.925306090222215
Tena Quichua	729.486853536736	23	0.00112696316217681	0.83045554300507
Setswana South Africa	732.394543066549	37	9.33355825582755e-16	0.967185646032066
French	754.314696783302	35	3.68453961055277e-45	0.942055748414956
Azerbaijani	762.811268263774	35	0.150122353691803	0.919739101249613
Palula	793.522851039552	40	1.9558957460985e-28	0.966163726958682
Cocos Malay	828.132190652951	25	2.36679510447921e-32	0.882866977851992
Cypriot Greek	833.230822992462	23	8.36990885189581e-22	0.894289016244925
Jamaican Creole	841.026213149315	33	1.62905334318525e-10	0.836713555613807
Istanbul Judeo-Spanish	869.167583186563	25	0.000000285803486723824	0.932430323644145
Japanese	889.742480515377	22	4.66606251311632e-19	0.900640365895331
Tamil	895.567766595422	28	3.53230596975527e-39	0.959759707128081
Bemba	900.332324938892	36	0.00000307405658822473	0.844399093389116
Hebrew	902.665399850472	30	4.0170235359813e-14	0.781787507260771
Brazilian Portuguese	923.631055531532	35	1.88495787110079e-25	0.845294048147888
Basaa	932.726219183557	44	5.56523409973441e-64	0.969170862905443
Mono Lake Northern Paiute	939.573518616991	36	0.00000000354988238374405	0.929100952145537
Bukharan Tajik	941.793451977471	29	2.02325775286722e-18	0.918338655360537
European Portuguese	942.871858547473	47	1.09751796494605e-13	0.911733629624676
Igbo	957.437122532104	38	2.23082327798598e-16	0.983795302091476
Shipibo	987.265797391237	24	0.00174762586201498	0.602598672147109
Ega	1005.09149344329	36	0.00161487916501937	0.975528825674436
Polish	1098.24314762252	39	5.88492612918563e-18	0.878575573197143
British English recieved pronunciation	1099.01965773633	46	9.22902871381342e-25	0.935620026651653
Goizueta Basque	1100.79907796908	33	0.00369906640303245	0.940300961794542
Australian English	1101.23637178511	43	1.21090806404607e-32	0.938457550973647
Belgian Standard Dutch	1104.36263830165	40	1.95778174193152e-11	0.958045961734559
Turkish	1131.70396446443	37	8.76196016587064e-16	0.911782689174579
Swedish	1135.35615556098	35	1.99094012982059e-18	0.982668043806061
Keo	1148.84827662044	31	5.00821456368077e-73	0.953949356190997
Bardi	1196.2427418071	24	0.00000482607744435827	0.569614565848557
Arabic	1286.99985074967	37	1.05994349523653e-11	0.949338878871247
Isthmus (Juchitan) Zapotec	1327.18085083969	34	4.13734106409788e-44	0.973452160650171
Bulgarian	1357.47097939125	30	9.41869309724701e-31	0.903033868698373
Italian	1371.15770814085	30	0.0000441895483554704	0.744771356084237
Kedayan	1384.69366967113	20	1.23568600880693e-23	0.725854412577371
Hakka Chinese	1400.70550380379	42	3.04077248868138e-11	0.960823902627545
Nuuchahnulth	1408.62097645623	43	1.13333228002908e-20	0.965303437827658
Danish	1416.58572014722	48	0.00000206480842789908	0.914430442218727
Upper Sorbian	1420.47455162344	37	1.69305783902355e-55	0.94747644591913
Liverpool English	1436.03385355584	41	4.9952814014087e-89	0.961874355157979
Slovene	1436.45033695693	29	3.73687292679562e-85	0.953452918833216
Standard Austrian German	1451.71783720191	40	1.30137680507591e-10	0.962907747508886
Belgian Limburg dialect of Hamont	1517.52400328943	55	2.55628443417278e-31	0.968019913645814
Dutch Dialect of Maastricht	1524.96100581	49	4.88922265932485e-16	0.903381785457507
Upper Saxon (Chemnitz dialect)	1531.80091544737	42	2.55295636538654e-25	0.975911081896964
Czech spoken in Bohemia	1533.22245992183	39	3.66218001350097e-124	0.967679701186458
Greek Thrace Xoraxane Romane	1540.34614152823	35	0.000360200676235677	0.95168209962506
Slovak	1548.51464715626	44	1.85154460465235e-25	0.958755141263213
Russian	1579.88061316517	42	3.39058636938662e-37	0.95325668252601
Southeastern Pashayi	1640.80944953242	40	1.42409034545937e-31	0.974809898526811
Burmese	1649.23252476318	55	1.05628324128495e-20	0.956467934099753
Hanoi Vietnamese	1720.46970852392	36	1.27117255059372e-21	0.922816432610467
Amarasi	1733.3707891099	18	2.19754886410106e-10	0.819152272354891
Standard Chinese (Beijing)	1763.12543302076	46	7.2601839201497e-13	0.912057215797006
Sumi (Sema)	1776.89717801722	35	0.00204192971306145	0.611447553001883
Czech	1801.44959209732	39	9.0080080043761e-146	0.958362482769607
Thai	1838.77419416463	42	1.27900024501173e-28	0.964487473535939
Gitksan	1891.4449410061	39	0.000012653023041081	0.936140260619693
Shanghai Chinese	1934.8376490225	44	3.29182090760287e-56	0.977431854601262
Korean	1955.0474119271	48	0.0000129699845575503	0.952488551363519
German	1970.79568740839	41	2.33564268851949e-21	0.952694600892743
Shiwilu (Jebero)	2005.73185377857	21	0.000193465145774857	0.827268504793014
Spokane	2103.41379048104	44	1.18417938135461e-26	0.930377356107237
Irish	2138.02358683052	50	4.6202583189945e-68	0.965566310395211
Amharic	2141.76174074537	73	3.08124057933634e-51	0.978605931322482
Sindhi	2269.31576672019	66	0.00000000105164747962233	0.990577269798885
Shilluk	2294.94118895171	49	0.00000000250222835230952	0.939307532269833
Munji	2341.76509221023	41	0.00149177494023888	0.973432561286775
Goemai	2344.59633982354	39	3.58746646918938e-22	0.974898796306697
Czech spoken in Moravia	2372.26562068537	39	2.79948670958755e-127	0.962030160855408
Croatian	2377.38116632891	37	7.01126463180933e-26	0.865532915766315
Lizu	2467.04775114391	48	0.00000000302886945468512	0.834897083501866
Seri	2477.92124593848	26	4.95602411976847e-24	0.774731739194917
Zurich German	2504.64466116579	55	6.08852442749168e-33	0.981777074184765
Hausa	2527.95881789069	42	1.358380843185e-10	0.950923882508115
New Zealand English	2565.86745689044	47	1.13327179747408e-30	0.937850652205457
Tilquiapan Zapotec	2714.7809356951	33	1.27500908875277e-29	0.901311704407431
Ibibio	2717.04170486883	32	1.4310831987681e-21	0.949857189222554
Kera	2826.9159836996	41	6.23576917623534e-16	0.950799911489666
Catalan	2890.20059703151	31	6.41929325664849e-30	0.863053037863248
Mono	2940.2209419092	41	0.00193496801748729	0.925158134727912
Tyneside English	3094.19266155973	52	5.22964667797566e-60	0.962217408523847
Khowar	3157.98950561064	44	8.14512616254683e-10	0.976897688405628
Dutch dialect of Hasselt	3226.78614102306	54	6.26878508293138e-26	0.925105618075531
Northwest Sahaptin	3233.13324464411	40	4.67122882178798e-16	0.907288988087439
Upper Xumi	3346.65541132358	66	8.33369710799036e-29	0.967455996904196
Ukrainian	3371.25115220739	38	3.97272334644961e-29	0.911639270322386
Ika Igbo	3766.80063574382	47	5.79191627683878e-56	0.972579445243252
Makasar	3775.25617469099	37	1.06355590336921e-28	0.895190817675266
Tukang Besi	3876.93825591123	29	6.28100282454485e-81	0.952617962516745
Dari Afghan Persian Informal	3879.16053905881	36	0.0000000507373773765016	0.685920564437963
Dari Afghan Persian Formal	4500.91984131787	36	0.000000104549749124033	0.679361963969795
Pitjantjatjara	4676.22538062789	25	9.47173481342555e-18	0.819043157279269
Friulian	5100.22258178639	44	5.5644995916837e-20	0.941865188438741
Lower Xumi	5200.75282140995	64	2.6084380041393e-34	0.986052767826887
Bearnais (Gascon)	5614.17387268271	37	9.05763072674305e-29	0.833269230416915
Standard Malay (Brunei)	6442.60024050309	30	4.91966467461387e-21	0.93205629984363
Nuosu Yi	6576.75483798428	55	8.52212027924324e-12	0.909578281485064
Kabiye	6753.94154070879	51	1.26694370373983e-59	0.965470003896882
Breton of the Isle of Groix	7112.23483515872	50	3.81256266586466e-34	0.943110877708155
Luxembourgish	7174.41242148167	55	2.56795759978724e-54	0.965990321249613
Dutch	7183.51470214574	42	5.99509490984034e-23	0.870781259156452
Niuean	7362.25220681528	20	8.08116172377258e-26	0.681600268438654
Jicarilla Apache	7368.41632993241	52	2.66096818849704e-12	0.955210282670543
Mennonite Plautdietsch	7859.31566088584	55	1.33327304991892e-86	0.985418989917153
Chistabino (Pyrenean Aragonese)	8043.88125945299	45	0.0128247421093597	0.84259786686696
Nara	8406.92913136128	54	0.000000336479823863276	0.982096204139055
Murcian Spanish	8710.64983638577	33	9.21087937557635e-25	0.865757407556689
Nivacle	8888.28892886199	34	6.86673003949491e-51	0.869394719976048
Temne	8930.89191013738	28	0.00312678912328319	0.792463547370175
Salasaca Quichua	9062.0967899434	27	1.59310081370543e-26	0.827106091205189
Mapudungun	9169.30422293208	28	4.16469003004742e-29	0.867048138158201
Flemish-Brabant dialect of Orsmaal-Gussenhoven	10277.693525387	54	1.79497395944014e-23	0.967445263044066
Dutch dialect of Weert	10885.8156658461	54	3.31349516746633e-47	0.943098978154995
Castilian Spanish	11203.0761863721	32	0.000000137502581280625	0.657044908307671
Nen	11230.6564172971	33	0.00000142788355430326	0.778709430659519
Hungarian	11240.2435179928	68	3.92337806354889e-38	0.965301131209624
Tausug (Suluk)	11255.4086735996	23	7.10289373048703e-22	0.550685578441247
Chikasaw	13016.997835944	43	1.57334237782534e-28	0.907901738730884
Assamese	13864.8894023013	31	0.0000000981422889917733	0.590398962830251
Luanyjang Dinka	17195.5421616545	59	4.21109730595351e-53	0.986112955403404
Tamambo	19778.3761080426	21	2.21163973390216e-15	0.707261028976979
Sandawe	25056.7859313326	59	2.83045320216163e-19	0.957380607762224
Tashlhiyt Berber	26038.9050817764	69	0.0000199172175724765	0.963823918467102
Mambay	27910.1814454271	60	9.07618543029858e-42	0.93889517799007
Estonian	29646.1457639616	97	4.82442796804108e-14	0.982657506757239
Yine	36717.3928497927	26	2.97304221248083e-57	0.811164794144026
Basque (Western Low Navarrese dialect)	37164.565757613	37	9.62505625051685e-47	0.859561378617768
Lusoga Lutenga	37760.5790781151	94	0.0000725478726608616	0.983978270758586
Indonesian	47273.0665139608	31	5.87157346553457e-22	0.857358236809396
Mah Meri	53262.8484759098	58	9.45121995890309e-13	0.804843361634435
Ersu	53660.0226676622	60	1.96673879006455e-23	0.924190390530917
Nepali	53931.7905926451	67	3.63244968734904e-30	0.932772337966886
Malayalam Namboodiri dialect	64951.520231818	78	5.6801037495123e-18	0.972508225759764
Kalabari Ijo	78031.8560037093	40	2.53764795137446e-15	0.917487384109042
Central Arrernte	85868.5022498331	52	0.00479791728677497	0.701745253697159
Tera	86922.2770683155	58	1.49991044547011e-20	0.890041240414905
Chinese (Hong Kong Cantonese)	87390.4372197608	54	9.50907901399147e-55	0.946157845563178
Mavea	173230.572352865	25	8.72701025148647e-16	0.53009158295895
Chicahuaxtla Triqui	242749.82892848	42	2.71707722602363e-40	0.915106281255999
Central Sama	261788.701198843	41	2.59800033936271e-13	0.625992308449109
Cicipu	315092.320390952	82	3.47494460729066e-12	0.967503459641517
Taba	399636.724512889	36	1.94545622726218e-10	0.800068540774777
Standard Yiddish	568070.427130305	44	1.24768278371397e-87	0.892756563108813
Itunyoso Trique	770220.087187966	47	1.56952256734476e-23	0.884382170297879
Kunama	2182998.65476388	53	3.41094105557761e-15	0.71542185222296
Hindi	3295708.89573174	85	0.00000000707747227242947	0.836620794829431
Bengali (Bangladeshi Standard)	4242560.27620813	79	6.39014876659676e-29	0.960591902532492
Telugu	6370752.1044559	77	9.27493793528006e-34	0.94859637689285
