Language	Length	TotalInventory
Standard Modern Greek	399.932851404847	23
Galician	436.710414102294	29
Persian (Farsi)	443.332413029936	29
Brunei Malay	445.429448138001	21
Breton (Treger dialect)	450.648563254429	36
French	481.443534779543	35
Cocos Malay	510.457927451523	25
Brazilian Portuguese	511.225239099794	35
Standard Georgian	526.013300663542	33
Gayo	545.28494296524	27
Kedayan	561.654760594209	20
Lyonnais (Francoprovencal)	565.208133634723	33
Mono Lake Northern Paiute	580.010106700936	36
American English - Southern Michigan	598.433518594074	39
Hebrew	631.057184792985	30
Polish	639.329107405762	39
Liverpool English	653.255598371426	41
Bukharan Tajik	659.609373699161	29
Japanese	659.709106195167	22
Bemba	683.419769491379	36
Catalan	692.762850695558	31
Tamil	694.314118875983	28
Turkish	696.137718943359	37
Czech	701.719416101164	39
Australian English	712.657300228073	43
Slovene	726.801963234403	29
Upper Sorbian	729.150203996427	37
Amarasi	729.30956183726	18
Tena Quichua	731.643818050332	23
Bulgarian	736.198970858581	30
British English recieved pronunciation	737.907650669842	46
Cypriot Greek	743.20465236051	23
Bardi	745.852709656144	24
Basaa	748.899140407829	44
Czech spoken in Bohemia	749.316546913918	39
Palula	753.140716506262	40
Jamaican Creole	756.616765682157	33
Isthmus (Juchitan) Zapotec	756.633638565222	34
Azerbaijani	764.260212907511	35
European Portuguese	771.545311601947	47
Keo	800.671970792018	31
Bearnais (Gascon)	824.265960863048	37
Czech spoken in Moravia	842.950674168192	39
Russian	856.038700416718	42
Burmese	865.575324121104	55
Spokane	880.009933199112	44
Croatian	894.288837354336	37
Italian	905.409446246849	30
Shipibo	931.218403351937	24
Tausug (Suluk)	945.315387033466	23
Danish	951.060966804669	48
Mapudungun	960.521431108757	28
Istanbul Judeo-Spanish	970.489621253366	25
Dutch Dialect of Maastricht	1000.959287005	49
Setswana South Africa	1015.36461523224	37
Arabic	1030.77206435793	37
Irish	1032.27880235065	50
Hanoi Vietnamese	1040.11199173584	36
Swedish	1057.67046311182	35
Ega	1065.18211858265	36
Belgian Standard Dutch	1113.65158957689	40
Goizueta Basque	1200.90256202975	33
Slovak	1202.46596041535	44
Hakka Chinese	1205.73155785149	42
New Zealand English	1237.3229876907	47
Upper Saxon (Chemnitz dialect)	1257.32139989545	42
Ukrainian	1271.17611498834	38
Dari Afghan Persian Informal	1294.98946101872	36
Dutch dialect of Hasselt	1304.52251089805	54
Standard Austrian German	1308.03666267272	40
Breton of the Isle of Groix	1310.45637599853	50
Nuuchahnulth	1323.68739793398	43
Standard Chinese (Beijing)	1339.96591248506	46
Dari Afghan Persian Formal	1347.48856513157	36
Ibibio	1376.0678538879	32
Greek Thrace Xoraxane Romane	1438.08948269679	35
German	1441.82374326001	41
Pitjantjatjara	1465.54494500931	25
Shanghai Chinese	1466.63169970364	44
Igbo	1466.89692911514	38
Niuean	1502.82115968021	20
Southeastern Pashayi	1530.71350373786	40
Makasar	1533.56790461102	37
Tyneside English	1534.40481331693	52
Lizu	1542.66571398634	48
Shilluk	1561.03273410996	49
Dutch	1568.52614220729	42
Tilquiapan Zapotec	1592.08275128077	33
Tukang Besi	1633.2622681231	29
Ika Igbo	1688.81978047372	47
Salasaca Quichua	1694.11295780245	27
Murcian Spanish	1740.11515545329	33
Sumi (Sema)	1756.18176496466	35
Nivacle	1817.74801092077	34
Goemai	1901.31819748728	39
Kera	1972.14851337478	41
Assamese	1983.72172308918	31
Castilian Spanish	2031.46144749385	32
Shiwilu (Jebero)	2052.4012365104	21
Tamambo	2087.78216526973	21
Kabiye	2095.27241245407	51
Basque (Western Low Navarrese dialect)	2156.83533336197	37
Hausa	2175.76217718156	42
Gitksan	2188.93981672708	39
Standard Malay (Brunei)	2268.50368638285	30
Mavea	2527.23881609837	25
Munji	2533.09011004085	41
Belgian Limburg dialect of Hamont	2560.46907362651	55
Zurich German	2626.94480703778	55
Nen	2643.71336541231	33
Korean	2648.5400519831	48
Friulian	2684.88184776085	44
Yine	2728.43169851256	26
Upper Xumi	2745.92862598341	66
Northwest Sahaptin	2830.09051155684	40
Sindhi	2965.20920179031	66
Khowar	3030.31809912424	44
Chikasaw	3042.53704544116	43
Luxembourgish	3136.18802176251	55
Mono	3278.82933534871	41
Thai	3293.54969409005	42
Dutch dialect of Weert	3349.7207229533	54
Nuosu Yi	3840.05506142299	55
Seri	3961.09839145759	26
Mennonite Plautdietsch	4123.33337981249	55
Flemish-Brabant dialect of Orsmaal-Gussenhoven	4160.51120806505	54
Lower Xumi	4437.78072630547	64
Hungarian	4523.52987424369	68
Indonesian	4563.31180662812	31
Chicahuaxtla Triqui	4921.51842068162	42
Jicarilla Apache	5018.95622359688	52
Mah Meri	6004.45919438198	58
Chinese (Hong Kong Cantonese)	6050.34590986713	54
Standard Yiddish	6077.80455795729	44
Chistabino (Pyrenean Aragonese)	6842.74524942798	45
Nara	6946.32031967405	54
Sandawe	7203.70478322593	59
Luanyjang Dinka	7450.93894387047	59
Tera	7931.72211644097	58
Mambay	8017.80063803507	60
Amharic	9464.39581322364	73
Nepali	9669.38380951619	67
Temne	9812.21129239252	28
Kalabari Ijo	14235.9980240934	40
Ersu	16622.2273585592	60
Central Sama	20159.5303818732	41
Central Arrernte	24472.9637200255	52
Malayalam Namboodiri dialect	30440.2046022291	78
Tashlhiyt Berber	34682.5050163514	69
Itunyoso Trique	37728.1855783454	47
Taba	40603.2340035487	36
Kunama	40650.4039533427	53
Lusoga Lutenga	49269.1059209641	94
Cicipu	119252.997617852	82
Hindi	199218.24548535	85
Telugu	252705.461339067	77
Bengali (Bangladeshi Standard)	277201.893622809	79
Estonian	296534.852715612	97
